,begin,end,endName
323,1864469905,3766659924,政务新媒体研学中心
324,1864469905,1827578857,河南大学
325,1864469905,3175283077,國立政治大學
326,1864469905,1852893050,中国教育电视台
327,1864469905,2108741991,维普期刊数据库
328,1864469905,3978191482,墨尔本大学官微
329,1864469905,2492779894,香港理工大学PolyU
330,1864469905,1916627235,西南政法大学
331,1864469905,5086478967,延边大学
332,1864469905,3937348351,共青团中央
333,1864469905,1896570242,石河子大学
334,1864469905,3403473360,国家图书馆
335,1864469905,2842266491,广东工业大学
336,1864469905,3405206944,河北大学
337,1864469905,5133090466,中国大学MOOC
338,1864469905,1974576991,环球时报
339,1864469905,5166343259,剑桥大学
340,1864469905,2258727970,央视财经
341,1864469905,1717751480,新浪留学
342,1864469905,2625027532,新职业-教育部大学生就业网
343,1864469905,3552074150,牛津大学
344,1864469905,3063181063,郑州师范学院
345,1864469905,1784473157,中国新闻网
346,1864469905,5044281310,澎湃新闻
347,1864469905,2384122784,中国教育报
348,1864469905,5182575519,微博打赏
349,1864469905,1729014640,科学网
350,1864469905,5604744359,陕西中医药大学
351,1864469905,6008456989,英国牛津布鲁克斯大学
352,1864469905,6190532921,微博故事
353,1864469905,1854671854,浙江传媒学院
354,1864469905,6328606313,北京化工大学经管学院
355,1864469905,2650776183,青春北化
356,1864469905,1960301272,有色金属在线网
357,1864469905,2806934982,中国研究生招生信息网
358,1864469905,1682207150,南方日报
359,1864469905,2898765734,北京语言大学
360,1864469905,1726918143,中国青年报
361,1864469905,1974651707,小桔程维
362,1864469905,1402977920,光明日报
363,1864469905,1752825395,光明网
364,1864469905,5936137028,超话社区精选
365,1864469905,3639869300,东北林业大学
366,1864469905,1865978564,中国石油大学华东
367,1864469905,2001487693,中国美术学院
368,1864469905,5445089730,山东科技大学
369,1864469905,5726029829,青岛大学
370,1864469905,2348268764,北京化工大学精选
371,1864469905,2528691302,北京化工大学自强社
372,1864469905,1889747995,北京化工大学学生网络中心
373,1864469905,5299927835,北京化工大学研究生招生办
374,1864469905,5111681097,BUCT化研团总支学生会
375,1864469905,3281946514,北化星愿工作室
376,1864469905,3884769884,北京化工大学BBS
377,1864469905,3121378065,北京化工大学微校园
378,1864469905,5137444822,湖北工业大学
379,1864469905,1853885371,湖北大学
380,1864469905,1866488605,湖南师范大学
381,1864469905,3204433793,西北农林科技大学
382,1864469905,5780974966,柴知道
383,1864469905,1707613190,T君说
384,1864469905,2231366334,北化心协
385,1864469905,5748649144,沈阳建筑大学
386,1864469905,1459507082,中华全国学联
387,1864469905,1845850033,北京科技大学
388,1864469905,5503968735,中国传媒大学
389,1864469905,2348668214,合肥工业大学
390,1864469905,3266943013,央视网
391,1864469905,3311925782,新乡医学院三全学院
392,1864469905,3577626257,河南工学院
393,1864469905,2975787954,中国人民大学
394,1864469905,5016338752,郑州大学
395,1864469905,3824793130,大连海事大学
396,1864469905,2028734565,华东理工大学
397,5141050161,6336710565,微博任务
398,5141050161,5725734260,TED精选Live
399,5141050161,1865804041,哈尔滨工程大学
400,5141050161,1703371307,北京晚报
401,5141050161,2678481843,山东财经大学
402,5141050161,1891849065,东北大学
403,5141050161,7335487829,长春微校园
404,5141050161,5022972857,方方方方不紧张
405,5141050161,1747104004,微博校园
406,5141050161,1459507082,中华全国学联
407,5141050161,1749990115,北京青年报
408,5141050161,1666292917,首都教育-
409,5141050161,1718493627,瞭望
410,5141050161,1697601814,长安街知事
411,5141050161,3937348351,共青团中央
412,5141050161,1893892941,北京日报
413,5141050161,5000609535,中国政府网
414,5141050161,5878659096,超话社区
415,5141050161,2882617115,头条文章
416,5141050161,5084608343,中国矿业大学北京
417,5141050161,1784473157,中国新闻网
418,5141050161,1623842133,北京市疾病预防控制中心
419,5141050161,5743923782,微博会员小秘书
420,5141050161,2715025067,微博会员
421,5141050161,2388955087,首都网警
422,5141050161,3218165674,上冬十五籽籽
423,5141050161,7150107863,北京物资学院校团委
424,5141050161,5503968735,中国传媒大学
425,5141050161,5869306237,北京物资学院商学院
426,5141050161,5762454887,微博数据助手
427,5141050161,3845263485,Captaincpc
428,5141050161,2878540452,中国地质大学北京
429,5141050161,2611704935,气象北京
430,5141050161,1865345137,北京交通大学
431,5141050161,2418801567,北京市教委
432,5141050161,1879192935,厦门大学
433,5141050161,1974576991,环球时报
434,5141050161,1726918143,中国青年报
435,5141050161,3461668994,上海财经大学
436,5141050161,1708159150,中国大学生在线
437,5141050161,2613324761,中国教育在线
438,5141050161,1903958645,北京第二外国语学院
439,5141050161,1875088617,北京师范大学
440,5141050161,1865464475,中央团校
441,5141050161,1844770327,中央民族大学
442,5141050161,5053641135,北京工业大学
443,5141050161,1663414103,华中科技大学
444,5141050161,1865154537,同济大学
445,5141050161,1871729063,天津大学
446,5141050161,1851774145,南开大学
447,5141050161,1666177401,武汉大学
