网址,标题
http://www.cuc.edu.cn/news/2020/1223/c1901a177366/page.htm,"
我校共建塞尔维亚贝尔格莱德孔子学院2020年理事会成功举行
"
http://www.cuc.edu.cn/news/2020/1223/c1901a177338/page.htm,"
我校法律诊所和诊所教师荣获全国优秀法律诊所及教师称号
"
http://www.cuc.edu.cn/news/2020/1222/c1901a177242/page.htm,"
段鹏副校长参加教育质量评估与督导处党支部活动
"
http://www.cuc.edu.cn/news/2020/1222/c1901a177241/page.htm,"
喜讯：校传媒博物馆成功晋级“国家二级博物馆”
"
http://www.cuc.edu.cn/news/2020/1221/c1901a177176/page.htm,"
中国社科院文学研究所所长刘跃进赴人文学院“名师大讲堂”讲学
"
http://www.cuc.edu.cn/news/2020/1221/c1901a177141/page.htm,"
党委宣传部被评为2020年《中国教育报》教育新闻宣传先进单位
"
http://www.cuc.edu.cn/news/2020/1221/c1901a177140/page.htm,"
我校国际学生参加第二届中华经典诵读大赛获得佳绩
"
http://www.cuc.edu.cn/news/2020/1221/c1901a177133/page.htm,"
我校学生作品入围2020波兰格但斯克国际动画电影节
"
http://www.cuc.edu.cn/news/2020/1221/c1901a177116/page.htm,"
中国传媒大学首届博士生创新论坛成功举办
"
http://www.cuc.edu.cn/news/2020/1221/c1901a177098/page.htm,"
我校举办北京2022年冬奥会BTP转播培训宣讲会
"
http://www.cuc.edu.cn/news/2020/1221/c1901a177090/page.htm,"
首届少数民族预科生“我与汉字”演讲比赛成功举办
"
http://www.cuc.edu.cn/news/2020/1221/c1901a177089/page.htm,"
我校为定点帮扶地区科右前旗举办领导干部媒介素养培训班
"
http://www.cuc.edu.cn/news/2020/1220/c1901a177081/page.htm,"
“媒体融合与传播”高端学术论坛计算传播学分论坛成功举办
"
http://www.cuc.edu.cn/news/2020/1220/c1901a177078/page.htm,"
“决胜脱贫攻坚：无障碍信息传播与文化扶贫”论坛在中传举办
"
http://www.cuc.edu.cn/news/2020/1220/c1901a177077/page.htm,"
“媒体融合与传播”高端学术论坛5G视音频分论坛成功举办
"
http://www.cuc.edu.cn/news/2020/1219/c1901a177075/page.htm,"
媒体融合与传播国家重点实验室学术委员会年度会议暨未来建设研讨...
"
http://www.cuc.edu.cn/news/2020/1218/c1901a177070/page.htm,"
中国传媒大学国重大楼启用仪式隆重举行
"
http://www.cuc.edu.cn/news/2020/1218/c1901a177063/page.htm,"
我校召开研究生培养质量警示大会
"
http://www.cuc.edu.cn/news/2020/1218/c1901a177061/page.htm,"
李新军副校长为计算机与网络空间安全学院本科生党支部讲授专题党...
"
http://www.cuc.edu.cn/news/2020/1218/c1901a177046/page.htm,"
海南省副省长王路来中传调研
"
http://www.cuc.edu.cn/news/2020/1217/c1901a177030/page.htm,"
 “人民共和国党报论坛”第十七届（2020）年会成功举办
"
http://www.cuc.edu.cn/news/2020/1216/c1901a176998/page.htm,"
中国高等院校影视学会播音主持专业委员会2020年年会暨第22届齐越...
"
http://www.cuc.edu.cn/news/2020/1216/c1901a176997/page.htm,"
2020年辩与论公开课“决胜·振兴”结课汇报圆满结束
"
http://www.cuc.edu.cn/news/2020/1216/c1901a176967/page.htm,"
我校共建巴西南大河州联邦大学孔子学院2020年理事会成功举行
"
http://www.cuc.edu.cn/news/2020/1216/c1901a176966/page.htm,"
我校教师获第三届全国高等学校青年教师电子技术基础、电子线路课...
"
http://www.cuc.edu.cn/news/2020/1216/c1901a176965/page.htm,"
传媒大学教育基金会召开第三届理事会第二次、第三次会议
"
http://www.cuc.edu.cn/news/2020/1216/c1901a176964/page.htm,"
2019-2020学年“优秀团委”“红旗团委”答辩评审会成功举办
"
http://www.cuc.edu.cn/news/2020/1215/c1901a176951/page.htm,"
第七届音乐产业高端论坛在京举办
"
http://www.cuc.edu.cn/news/2020/1215/c1901a176947/page.htm,"
2020年第二期教育系统领导干部媒介素养实训班圆满结束
"
http://www.cuc.edu.cn/news/2020/1215/c1901a176946/page.htm,"
温州市龙湾区代区长夏禹桨率团来访我校
"
http://www.cuc.edu.cn/news/2020/1215/c1901a176942/page.htm,"
我校课题获2020年度北京高校思想政治工作研究课题立项
"
http://www.cuc.edu.cn/news/2020/1215/c1901a176941/page.htm,"
我校荣获北京市“我心中的廉洁”公益作品征集评选优秀组织奖
"
http://www.cuc.edu.cn/news/2020/1215/c1901a176934/page.htm,"
我校与智利边境大学共建孔子学院举办揭牌仪式
"
http://www.cuc.edu.cn/news/2020/1214/c1901a176914/page.htm,"
我校发起的首届大学生电竞节圆满落幕
"
http://www.cuc.edu.cn/news/2020/1214/c1901a176906/page.htm,"
由我校主办的第12届大广赛学科竞赛成果展示盛典在京举办
"
http://www.cuc.edu.cn/news/2020/1214/c1901a176886/page.htm,"
段鹏副校长为国际传媒教育学院师生宣讲十九届五中全会精神
"
http://www.cuc.edu.cn/news/2020/1213/c1901a176884/page.htm,"
我校成功举办中国（海宁）短视频高峰论坛
"
http://www.cuc.edu.cn/news/2020/1211/c1901a176880/page.htm,"
教育部高等教育教学评估中心专家团队来我校调研
"
http://www.cuc.edu.cn/news/2020/1211/c1901a176879/page.htm,"
党委书记、校长廖祥忠参加科学研究处党支部活动
"
http://www.cuc.edu.cn/news/2020/1211/c1901a176863/page.htm,"
《中国传媒大学章程修正案》获教育部核准
"
http://www.cuc.edu.cn/news/2020/1211/c1901a176854/page.htm,"
中国传媒大学与兰州文理学院签署对口支援框架协议
"
http://www.cuc.edu.cn/news/2020/1211/c1901a176853/page.htm,"
党委书记、校长廖祥忠参加音乐与录音艺术学院本科生党支部主题党...
"
http://www.cuc.edu.cn/news/2020/1210/c1901a176794/page.htm,"
我校2019-2020学年创新创业奖学金评审会顺利举行
"
http://www.cuc.edu.cn/news/2020/1210/c1901a176792/page.htm,"
我校举行2020年教职工荣休暨师德传承典礼
"
http://www.cuc.edu.cn/news/2020/1209/c1901a176788/page.htm,"
第八届联合国教科文组织媒介与女性教席论坛成功举办
"
http://www.cuc.edu.cn/news/2020/1210/c1901a176787/page.htm,"
“寻找餐桌上的榜样”系列活动邀请校领导与师生共进思想午餐
"
http://www.cuc.edu.cn/news/2020/1209/c1901a176774/page.htm,"
我校多项成果在2020年朝阳共青团大学生理论调研活动中获奖
"
http://www.cuc.edu.cn/news/2020/1209/c1901a176766/page.htm,"
第十七届首都高校风采之星才艺选拔大赛决赛圆满落幕
"
http://www.cuc.edu.cn/news/2020/1209/c1901a176761/page.htm,"
中传学子在“笹川杯品书知日本征文大奖赛2020”中斩获一等奖
"
http://www.cuc.edu.cn/news/2020/1209/c1901a176759/page.htm,"
中传对口支援西藏民大图书馆项目启动仪式暨王志教授赠书仪式举行
"
http://www.cuc.edu.cn/news/2020/1209/c1901a176758/page.htm,"
王达品副书记为马克思主义学院师生宣讲五中全会精神
"
http://www.cuc.edu.cn/news/2020/1207/c1901a176664/page.htm,"
中传男足斩获首都高校五人制足球联赛校园组冠军
"
http://www.cuc.edu.cn/news/2020/1207/c1901a176633/page.htm,"
教育部高等学校动画、数字媒体专业教指委第四次全体工作会议在蓉...
"
http://www.cuc.edu.cn/news/2020/1207/c1901a176624/page.htm,"
我校积极与教育部、海南省对接海南办学相关工作
"
http://www.cuc.edu.cn/news/2020/1204/c1901a176609/page.htm,"
北京榜样优秀群体报告会走进中国传媒大学
"
http://www.cuc.edu.cn/news/2020/1204/c1901a176601/page.htm,"
我校承办江西省新闻发言人高级研修班
"
http://www.cuc.edu.cn/news/2020/1204/c1901a176598/page.htm,"
第二届家庭教育发展论坛在我校圆满闭幕
"
http://www.cuc.edu.cn/news/2020/1204/c1901a176589/page.htm,"
第22届齐越朗诵艺术节暨全国大学生朗诵大会在“学习强国”展映
"
http://www.cuc.edu.cn/news/2020/1203/c1901a176554/page.htm,"
播音主持艺术学院举办“学四史·守初心·担使命”主题故事会
"
http://www.cuc.edu.cn/news/2020/1202/c1901a176491/page.htm,"
我校今年继续承办全国教育系统领导干部媒介素养实训班
"
http://www.cuc.edu.cn/news/2020/1201/c1901a176451/page.htm,"
我校16门课程入选教育部首批国家级一流本科课程
"
http://www.cuc.edu.cn/news/2020/1130/c1901a176369/page.htm,"
我校开展基层党组织纪检委员培训
"
http://www.cuc.edu.cn/news/2020/1130/c1901a176366/page.htm,"
“建党百年视域下的马克思主义传播”学术研讨会在我校举办
"
http://www.cuc.edu.cn/news/2020/1130/c1901a176336/page.htm,"
我校师生走进北新建材集团开展校企思政交流活动
"
http://www.cuc.edu.cn/news/2020/1128/c1901a176279/page.htm,"
“第六届中国高校博物馆馆长论坛“在我校成功举办
"
http://www.cuc.edu.cn/news/2020/1127/c1901a176198/page.htm,"
文化产业管理学院与北京市文资中心联合发布《北京文化产业发展白...
"
http://www.cuc.edu.cn/news/2020/1127/c1901a176187/page.htm,"
第二届中国高校智慧图书馆（馆长）论坛成功举行
"
http://www.cuc.edu.cn/news/2020/1127/c1901a176186/page.htm,"
我校举办首届“得到读书奖学金”颁奖典礼暨中传“悦读”读书分享...
"
http://www.cuc.edu.cn/news/2020/1127/c1901a176184/page.htm,"
廖祥忠书记出席教育部直属高校定点扶贫工作进展及成效新闻发布会
"
http://www.cuc.edu.cn/news/2020/1126/c1901a176143/page.htm,"
我校召开教师赴科右前旗扶贫支教座谈会
"
http://www.cuc.edu.cn/news/2020/1126/c1901a176139/page.htm,"
张树庭副校长出席中国—东盟电视周视听传播峰会
"
http://www.cuc.edu.cn/news/2020/1126/c1901a176136/page.htm,"
我校举办学生党支部建设成果展示暨学生党支部书记专题培训会
"
http://www.cuc.edu.cn/news/2020/1125/c1901a176119/page.htm,"
新华社赴我校开展2021年校园招聘宣讲
"
http://www.cuc.edu.cn/news/2020/1125/c1901a176109/page.htm,"
廖祥忠书记出席北京冬奥会大学生体育记者训练营会议
"
http://www.cuc.edu.cn/news/2020/1124/c1901a175934/page.htm,"
我校联合国教科文组织“媒介与女性”教席获批延期四年
"
http://www.cuc.edu.cn/news/2020/1123/c1901a175912/page.htm,"
我校学生在2020年度“外研社·国才杯”全国英语大赛北京赛区喜获...
"
http://www.cuc.edu.cn/news/2020/1120/c1901a175838/page.htm,"
我校举办第二届“声动金秋”朗读决赛暨颁奖典礼
"
http://www.cuc.edu.cn/news/2020/1120/c1901a175835/page.htm,"
学校党委举办基层党委、党总支、直属党支部党务干部培训班
"
http://www.cuc.edu.cn/news/2020/1120/c1901a175816/page.htm,"
我校举行2020年新入职教职工集中培训开班仪式
"
http://www.cuc.edu.cn/news/2020/1120/c1901a175814/page.htm,"
我校留学生在2020“甲骨文杯”国际学生“我与汉字”演讲比赛获奖
"
http://www.cuc.edu.cn/news/2020/1118/c1901a175784/page.htm,"
教育部教师工作司司长任友群应邀来中传作报告
"
http://www.cuc.edu.cn/news/2020/1118/c1901a175775/page.htm,"
我校发起的首届北京（国际）大学生电竞节开幕
"
http://www.cuc.edu.cn/news/2020/1118/c1901a175774/page.htm,"
我校与科右前旗召开定点扶贫工作需求对接座谈会
"
http://www.cuc.edu.cn/news/2020/1118/c1901a175748/page.htm,"
我校赴中国戏曲学院学习交流习总书记重要回信精神
"
http://www.cuc.edu.cn/news/2020/1118/c1901a175743/page.htm,"
播音主持艺术学院同“学习强国”开展深度合作
"
http://www.cuc.edu.cn/news/2020/1117/c1901a175685/page.htm,"
我校学生在首届“故宫以东，指尖阳光”36小时极创赛中斩获大奖
"
http://www.cuc.edu.cn/news/2020/1113/c1901a175551/page.htm,"
中国播音主持人才动态数据库项目启动会在我校召开
"
http://www.cuc.edu.cn/news/2020/1113/c1901a175534/page.htm,"
北京市委常委、宣传部部长杜飞进到中传宣讲党的十九届五中全会精...
"
http://www.cuc.edu.cn/news/2020/1112/c1901a175510/page.htm,"
我校举办“119”消防应急技能培训活动
"
http://www.cuc.edu.cn/news/2020/1111/c1901a175423/page.htm,"
我校与腾讯微信联合主办非遗数字化传播论坛
"
http://www.cuc.edu.cn/news/2020/1109/c1901a175368/page.htm,"
中国（北京）国际大学生动画节白杨奖获奖名单揭晓
"
http://www.cuc.edu.cn/news/2020/1109/c1901a175366/page.htm,"
我校出版教材入选年度北京高校“优质本科教材课件”
"
http://www.cuc.edu.cn/news/2020/1109/c1901a175287/page.htm,"
我校师生主创抗疫纪录片《第一线》获国内外多项大奖
"
http://www.cuc.edu.cn/news/2020/1108/c1901a175274/page.htm,"
第九届世界大学女校长论坛在西安隆重举行
"
http://www.cuc.edu.cn/news/2020/1106/c1901a175225/page.htm,"
 “中国新闻传播大讲堂”启动仪式在中国传媒大学举办
"
http://www.cuc.edu.cn/news/2020/1105/c1901a175199/page.htm,"
我校举办学习《习近平总书记教育重要论述讲义》专题辅导报告会
"
http://www.cuc.edu.cn/news/2020/1105/c1901a175138/page.htm,"
喜报：我校15门课程入选首批国家级一流本科课程
"
http://www.cuc.edu.cn/news/2020/1104/c1901a175097/page.htm,"
我校2020年博士研究生国家奖学金备选名额评审答辩会顺利举行
"
http://www.cuc.edu.cn/news/2020/1104/c1901a175085/page.htm,"
《2019-2020中国企业视频媒体中心行业发展》白皮书发布
"
http://www.cuc.edu.cn/news/2020/1103/c1901a175019/page.htm,"
我校召开思政课“双师思政实验课”推进研讨会
"
http://www.cuc.edu.cn/news/2020/1103/c1901a175007/page.htm,"
北京市社会建设和民政领域百余名领导干部在我校集中“充电”
"
http://www.cuc.edu.cn/news/2020/1103/c1901a175006/page.htm,"
远程与继续教育学院荣获“2020网络与继续教育抗疫先进单位”称号
"
http://www.cuc.edu.cn/news/2020/1103/c1901a174991/page.htm,"
中国高校影视学会第二十届年会在蓉城圆满收官
"
http://www.cuc.edu.cn/news/2020/1102/c1901a174932/page.htm,"
温州市龙湾区副区长陈军苹、杨振率团来访我校
"
http://www.cuc.edu.cn/news/2020/1102/c1901a174931/page.htm,"
我校2021届毕业生秋季线下双选会顺利举办
"
http://www.cuc.edu.cn/news/2020/1031/c1901a174909/page.htm,"
新入职教职工赴中国人民抗日战争纪念馆开展红色主题教育
"
http://www.cuc.edu.cn/news/2020/1030/c1901a174904/page.htm,"
学习党的十九届五中全会精神座谈会暨京东五校思政课教师五中全会...
"
http://www.cuc.edu.cn/news/2020/1030/c1901a174858/page.htm,"
我校多个项目入选北京高校优质本科建设项目
"
http://www.cuc.edu.cn/news/2020/1030/c1901a174842/page.htm,"
科技部社会发展科技司来校调研交流座谈
"
http://www.cuc.edu.cn/news/2020/1029/c1901a174816/page.htm,"
我校“习近平新时代中国特色社会主义思想概论”课程正式开课
"
http://www.cuc.edu.cn/news/2020/1030/c1901a174808/page.htm,"
段鹏副校长参加国际传媒教育学院教工党支部主题党日活动
"
http://www.cuc.edu.cn/news/2020/1030/c1901a174807/page.htm,"
学校召开第三轮校内巡察动员部署会
"
http://www.cuc.edu.cn/news/2020/1028/c1901a174729/page.htm,"
人文学院与中国人民对外友好协会联合举办“全球抗疫，我们在一起...
"
http://www.cuc.edu.cn/news/2020/1028/c1901a174726/page.htm,"
2020中国艺术学理论学会年会在中国传媒大学召开
"
http://www.cuc.edu.cn/news/2020/1028/c1901a174718/page.htm,"
国家社科基金艺术学重大项目“新时代中国动画艺术知识体系创新研...
"
http://www.cuc.edu.cn/news/2020/1028/c1901a174711/page.htm,"
中国教育电视台《24365·一职为你》中传专场播出
"
http://www.cuc.edu.cn/news/2020/1027/c1901a174701/page.htm,"
我校成功完成首例科研成果转化
"
http://www.cuc.edu.cn/news/2020/1026/c1901a174664/page.htm,"
中国传媒大学赴科右前旗教育帮扶活动圆满完成
"
http://www.cuc.edu.cn/news/2020/1026/c1901a174658/page.htm,"
新闻学院师生组织摄影联展致敬“最可爱的人”
"
http://www.cuc.edu.cn/news/2020/1026/c1901a174638/page.htm,"
我校代表团赴海南参加专家评议会并完成系列工作
"
http://www.cuc.edu.cn/news/2020/1026/c1901a174637/page.htm,"
科学研究处开展“科研扶贫专项”项目研究活动
"
http://www.cuc.edu.cn/news/2020/1026/c1901a174635/page.htm,"
人类命运共同体海外研究中心揭牌仪式暨人类命运共同体国际学术联...
"
http://www.cuc.edu.cn/news/2020/1025/c1901a174621/page.htm,"
我校举办党建党务工作与管理实务培训班
"
http://www.cuc.edu.cn/news/2020/1024/c1901a174620/page.htm,"
我校承办2020丝绸之路国际电影节青年短片单元
"
http://www.cuc.edu.cn/news/2020/1024/c1901a174615/page.htm,"
新入职教职工赴香山革命纪念地开展红色主题教育
"
http://www.cuc.edu.cn/news/2020/1023/c1901a174477/page.htm,"
李新军副校长参加信息与通信工程学院学硕第二党支部主题党日活动
"
http://www.cuc.edu.cn/news/2020/1023/c1901a174470/page.htm,"
北京市大数据专家、国家抗疫先进个人贾晓丰校友应邀来校做报告
"
http://www.cuc.edu.cn/news/2020/1023/c1901a174468/page.htm,"
 “疫情下的国企担当”主题报告会顺利举办
"
http://www.cuc.edu.cn/news/2020/1023/c1901a174461/page.htm,"
我校团队斩获第十八届中国MBA创业大赛北方赛区二等奖
"
http://www.cuc.edu.cn/news/2020/1023/c1901a174436/page.htm,"
我校研究生导师评聘制度改革落实工作顺利完成
"
http://www.cuc.edu.cn/news/2020/1022/c1901a174371/page.htm,"
我校与北京林业大学签署定点扶贫科右前旗工作备忘录
"
http://www.cuc.edu.cn/news/2020/1022/c1901a174365/page.htm,"
培训学院承办2020年广西“广播电视百名人才”培养班
"
http://www.cuc.edu.cn/news/2020/1022/c1901a174361/page.htm,"
响应“光盘行动”号召 中传志愿者在行动
"
http://www.cuc.edu.cn/news/2020/1022/c1901a174343/page.htm,"
中华女子学院院长刘利群来我校调研培训工作
"
http://www.cuc.edu.cn/news/2020/1021/c1901a174156/page.htm,"
我校参加2020年高校科研实验室安全现场检查启动暨培训会
"
