,name,fullname,isalive,group,centrality,hits,pagerank
102,gamora,Gamora,alive,zehoberei,0.09944751381215469,0.00041416416339105477,0.008561727058700749
103,drax,Drax,alive,unknown,0.09944751381215469,0.00041416416339105477,0.008561727058700749
104,rocket,Rocket,alive,halfworlder,0.10497237569060773,0.00031164640869529365,0.00923931377478983
105,groota,Groot (Adult),alive,flora colossus,0.09944751381215469,0.0003060730012332622,0.00851084269540103
106,yonduu,Yondu Udonta,deceased,centaurian,0.1270718232044199,0.0002259941486576608,0.011752842657123414
107,nebula,Nebula,alive,luphomoid,0.0718232044198895,0.00029073290470317867,0.0064265554283614796
108,ronan,Ronan,deceased,kree,0.08287292817679558,0.00041406491838986043,0.00729044862323096
109,korath,Korath,deceased,kree,0.03867403314917127,0.00013542102673292218,0.0036941218332868595
110,collector,Taneleer Tivan,alive,unknown,0.06077348066298342,0.0016194520468106113,0.006517354644302042
111,carina,Carina,deceased,krylorian,0.0055248618784530384,8.936976686261871e-05,0.001327741602859839
112,rhomannd,Rhomann Dey,alive,xandarian,0.06077348066298342,0.00017217959561294244,0.005350010291201034
113,garthans,Garthan Saal,deceased,xandarian,0.06077348066298342,0.00017217959561294244,0.005350010291201035
114,iranir,Irani Rael,alive,xandarian,0.06077348066298342,0.00017217959561294244,0.005350010291201035
115,novac,Nova Corp Soldier,alive,xandarian,0.06077348066298342,0.00017217959561294244,0.005350010291201036
116,howardd,Howard The Duck,alive,duckworldian,0.022099447513812154,0.00010443705696178332,0.002950098812521239
117,meredithq,Meredith Quill,deceased,human,0.011049723756906077,2.4818831470505696e-05,0.0016839068501326687
118,kraglino,Kraglin Obfonteri,alive,xanderian,0.08839779005524862,0.0002142947969645597,0.00755905153229339
119,cosmo,Cosmo The Spacedog,alive,dog,0.011049723756906077,0.00010656803277335684,0.00174105470947134
120,mantis,Mantis,alive,unknown,0.055248618784530384,0.00015234161653704926,0.004997541088278081
121,ego,Ego,deceased,celestial,0.055248618784530384,0.00014664483743800477,0.005257319605255651
122,ayesha,Ayesha,alive,sovereign,0.049723756906077346,0.0001337458289936521,0.004593123158917843
123,taserf,Taserface,deceased,stark,0.03314917127071823,8.181132996407893e-05,0.003329235606827302
124,stakaro,Stakar Ogord,alive,unknown,0.03867403314917127,2.3518632238024596e-05,0.004891123069481513
125,martinex,Martinex,alive,pluvian,0.03867403314917127,2.3518632238024596e-05,0.004891123069481513
126,krugarr,Krugarr,alive,lem,0.03314917127071823,1.8056672797795948e-05,0.004255276516185564
127,charlie,Charlie-27,alive,jovian,0.03314917127071823,1.8056672797795948e-05,0.004255276516185564
128,aletao,Aleta Ogord,alive,arcturan,0.03314917127071823,1.8056672797795948e-05,0.004255276516185564
129,mainf,Mainframe,alive,machine,0.03314917127071823,1.8056672797795948e-05,0.004255276516185564
130,scottl,Scott Lang,alive,human,0.10497237569060773,0.014941044694808798,0.01070223533532958
131,hankp,Hank Pym,alive,human,0.04419889502762431,0.0016470240999483762,0.005485947251920635
132,hopev,Hope Van Dyne,alive,human,0.03314917127071823,0.0011782092822629658,0.0043718537195547936
133,darrenc,Darren Cross,deceased,human,0.03867403314917127,0.0012274030791589628,0.00516446696768985
134,maggiel,Maggie Lang,alive,human,0.011049723756906077,0.0008764329370148453,0.002103420628817808
135,cassiel,Cassie Lang,alive,human,0.016574585635359115,0.000940624958738596,0.0028243904542156716
136,luis,Luis,alive,human,0.03314917127071823,0.0011782092822629658,0.004371853719554793
137,kurt,Kurt,alive,human,0.03314917127071823,0.0011782092822629658,0.004371853719554793
138,dave,Dave,alive,human,0.03314917127071823,0.0011782092822629658,0.0043718537195547936
139,stephens,Stephen Strange,alive,human,0.055248618784530384,0.003097305951300363,0.008278933910134081
140,karlm,Karl Mordo,alive,human,0.03867403314917127,0.00024621360848576564,0.006202050777956655
