,name,fullname,isalive,group,centrality,hits,pagerank
168,mbaku,M'Baku,alive,human,0.04419889502762431,0.002809486798854745,0.003906807088541211
169,zuri,Zuri,deceased,human,0.049723756906077346,0.002712018460613624,0.00437815380052346
170,njobu,N'Jobu,deceased,human,0.027624309392265192,0.0019048938700491707,0.0027751307094994087
171,miningt,Mining Tribe Elder,alive,human,0.049723756906077346,0.002774092419909507,0.004319841736099068
172,bordert,Border Tribe Elder,alive,human,0.055248618784530384,0.002939285721211042,0.004722396021247323
173,rivert,River Tribe Elder,alive,human,0.055248618784530384,0.0029634007424948015,0.004717503505769923
174,merchantt,Merchant Tribe Elder,alive,human,0.049723756906077346,0.002774092419909507,0.0043198417360990685
175,midnightp,Proxima Midnight,alive,unknown,0.027624309392265192,0.00015215856313355785,0.004218772647805799
176,corviusg,Corvius Glaive,alive,unknown,0.027624309392265192,0.00015215856313355785,0.004218772647805799
177,ebonym,The Ebony Maw,alive,unknown,0.027624309392265192,0.00015215856313355785,0.004218772647805799
178,obsidianc,Obsidian Cull,alive,unknown,0.027624309392265192,0.00015215856313355785,0.004218772647805799
179,outrider,Outriders,alive,unknown,0.027624309392265192,0.00015215856313355785,0.0042187726478058
180,bettyb,Betty Brant,alive,human,0.03314917127071823,0.0012847743214402481,0.0042508433793416915
181,stanlee,Stan Lee,,human,0.027624309392265192,0.006881699022599659,0.0028685058281953885
