,name,fullname,isalive,group,centrality,hits,pagerank,auth,hub
96,helmutz,Helmut Zemo,alive,human,0.06629834254143646,0.014836657015584218,0.005673475710458674,0.1740956015049435,0.03712577813163648
97,chitauri,Chitauri Footsoldier,deceased,chitauri,0.049723756906077346,0.010986904652947284,0.004691631678476391,0.16985121506073114,0.002526852782108563
98,other,The Other,deceased,unknown,0.022099447513812154,0.0020502866868311207,0.0025717855731768624,0.015801013549066295,0.001296636750611632
99,ironl,Iron Legion,deceased,machine,0.0055248618784530384,0.0016607242581750466,0.00130574080166319,0.03010524125660259,0.0
100,thanos,Thanos,alive,titan,0.06629834254143646,0.002148601278016973,0.007409238349099458,0.016654127681706127,4.010712479022e-26
101,peterq,Peter Quill,alive,human,0.09944751381215469,0.00030309234738554896,0.008743849923998346,0.0,0.002605016903076656
102,gamora,Gamora,alive,zehoberei,0.09944751381215469,0.00041416416339105477,0.008561727058700749,0.00020286705580102458,0.003870064502329861
103,drax,Drax,alive,unknown,0.09944751381215469,0.00041416416339105477,0.008561727058700749,0.0005042283302645977,0.003830806908283744
104,rocket,Rocket,alive,halfworlder,0.10497237569060773,0.00031164640869529365,0.00923931377478983,0.0008025320855735374,0.002539885534962803
105,groota,Groot (Adult),alive,flora colossus,0.09944751381215469,0.0003060730012332622,0.00851084269540103,0.0010003268275084218,0.0024464598889232044
106,yonduu,Yondu Udonta,deceased,centaurian,0.1270718232044199,0.0002259941486576608,0.011752842657123414,0.001190845165407556,0.0012983318864151338
107,nebula,Nebula,alive,luphomoid,0.0718232044198895,0.00029073290470317867,0.0064265554283614796,0.0012919673947897864,0.0019583808832388853
108,ronan,Ronan,deceased,kree,0.08287292817679558,0.00041406491838986043,0.00729044862323096,0.0014444618170806718,0.0032897489731649036
109,korath,Korath,deceased,kree,0.03867403314917127,0.00013542102673292218,0.0036941218332868595,0.0015994934326227091,0.0
110,collector,Taneleer Tivan,alive,unknown,0.06077348066298342,0.0016194520468106113,0.006517354644302042,0.012705031284028927,2.3703989526334783e-05
